line,label
sí pues a veces está haciendo fuerte el sol y también dicen hay que cuidarse del sol y el frío también está bien fuerte el frío en la mañana pero en la tarde hace ventarrón pero en la mañana es más frío con lo que temprano nosotros salimos a vender el frío está bien fuerte está helando a veces parece que no también pero está muy fuerte,lapaz
de esa pandemia sí pero más antes no creíamos que haya eso porque todos saben que decían que es políticamente eso no creía nadie mi esposo igual no creía no mentira es eso decía pero cuando había sido verdad que eso hay de mí hija trabajaba en el hospital y cuando un día mi hija me dice mami dice que me he contagiado yo me he asustado ese rato ahora qué vamos a hacer porque la gente ya estaba muriendo ese rato recién hemos dicho no y ahora pero mi hija me decía no mami no te vas a preocupar yo tengo todos los medicamentos ya me han dado en mi trabajo ya pero vas a tomar hija le digo y ahora con qué te vas a curar como decían no tienes que acercarte pero yo a mi hija le he entrado ya hasta friccionar me daba miedo que algo pase y así estábamos saliendo de esa eso mi hija me llamaba ya estoy bien mami ya estoy mejorando se ha aislado así estaba y ahí le estabamos dando su comidita sus mates y así pero más no se sabía cómo se iba a curar en vano decían mate mate hay que tomar pero parece que eso no no daba a esa enfermedad otros dicen no con mate me he cura me estaba curando pero parece que no es así porque yo mi esposo también nos hemos hecho sacar no con mi esposo mis dos hijas y yo hemos ido a hacernos sacar la tomografía y en esa tomografía nos dice que mis dos hijas estaban bien y que yo también estaba bien pero nos dice que mi esposo estaba contagiado pero mi esposo est se veía bien sanito yo no lo he creído eso yo he dicho no creo está bien también decía y él él decía no yo estoy bien no quería ni hacerse sacarse tomografía ha dicho él que yo no me voy a hacer sacar porque yo estoy bien y yo le dije vos estarás bien ps yo he salido a la calle porque yo sigue estaba yendo a vender y por ahí yo estoy mal yo me voy a hacer sacar entonces hemos esperado horas hemos esperado para que nos saque la tomografía estábamos esperando haciendo fila también y ahí hemos escuchado a una señora le ha llamado por su nombre para entregarle lo de la tomografía y le dice a la seño la señora le dice el que le estaba entregando el doctor en qué hospital está internado tu esposo le dice no mi esposo no está internado doctor le dice y dónde está en tu casa le dice no allá está mi esposo y ese rato nosotros le hemos visto que estaba con su esposo al frente estaba su esposo yo le he visto todavía sentadita está esperando y le dice el doctor señora le dice tu esposo ahorita señora tienes que buscar uno que tenga terapia intensiva por qué tu esposo señora está grave le ha dicho ahorita mismo busca eso tu esposo va entrar en terapia intensiva porque su pulmón está todo sí le dice la señora sí allá pero está mi esposo y el señor se ha ido caminando todo tranquilo y ese rato yo dije puede tener eso mira está yendo tranquilo estamos viendole cuando ya nos hemos venido con mi esposo nos ha sacado a nosotros al día siguiente nomás a mi hija ya le habían llamado que estaba contagiado mi esposo y ni así yo he creído porque él estaba caminando bien y mi hija le dice papi dice que estás contagiado y él se ha enojado cómo voy a estar mal yo no estoy mal y yo le he escuchado a mi hija le ha dicho así mi hija calladito se ha bajado y me dice se ha enojado mami el papá y yo le digo él no quiere cuidarse ahora él no más se va a enojar mi hija se ha bajado y yo estaba en mi sala y justo baja ahí y me dice dice que estoy mal me dice vos no te cuidas pues yo también así le he respondido y me dice ahora sí me voy a ir a mi casa de entity me voy a ir y yo le he dicho ándate pues le he dicho así como yo le veía sanito y él se ha bajado abajo se había bajado sus camas del dormitorio se ha ido al otro cuarto y en ese cuarto se ha cerrado yo se lo he llevado mate de eucalipto se lo he hecho no sé con miel más parece que he hecho le he ido a dar eso le he dicho te vas vas a tomar este mate y él me dice déjamelo ahicito no me quería abrir la puerta y yo le he dicho ahí está está caliente tibio dice que tienes que tomar ya ya ya me ha dicho se ha cerrado y luego ya le he dicho yo tomará pues no de poco rato ni bien he subido las gradas se ha abierto la puerta y se lo ha metido también el mate ha debido tomar yo creo no y al día siguiente ya era hemos bajado y pásame tu jarra así estamos dándole mate normal comía y todo y mi hija me dice mami el papá dice que tiene siempre eso le haremos revisar con el médico y yo le digo ya consigan entonces pues ellas han conseguido más antes han conseguido una doctorita y las doctoritas le han revisado y han dicho que no que estaba que está bien solo que en su pulmón se ve raro pero parece que algo tiene en su pulmón dice pero tiene que estar vamos a hacerle tratamiento así como era la primera pandemia parece que no sabían cómo curar los médicos también le han puesto le hacían le han dicho esto esto ponte y tomaban esas cosa también y no había sido eso pues para que le cure solo había sido defensas parece y él estaba tomando eso y cuando ya ha conseguido otro doctor mi hija y ese doctor le revisa igual me dice señora está bien tu esposo solo que se ve su pulmón se ve raro y con qué doctor estaban haciendo ver yo le dije estamos ha tráido una doctora de la portada y el doctor dice sí pues pero solo ellos solo saben solamente saben operar no saben curar de esto nos dice entonces ahora le vamos a curar señora medicamente nos ha recetado harto esto y esto vamos a ponerle y con eso va a estar bien su pulmón tenemos que lavar y ya le he mis hijas mi hija ha correteado mi otra hija como estaba estaba contagiado con eso ella no podía salir y mi otra hija estaba bien ella salía a comprar ha ido a todo lado pero había conseguido los medicamentos lunes ha venido domingo creo que ha venido el doctor me ha dicho como se ha cerrado en un cuarto ese cuarto también era un poco frío y yo le he dicho al doctor doctor dígamelo que se suba al dormitorio no quiere subir y el doctor le ha dicho tienes que subirte papá a tu dormitorio aquí estás en frío no tienes que estar en frío ya dice yo entro yo tampoco le hemos cerrado a él solito yo me he colocado barbijo he entrado y le digo nos subiremos arriba s le digo no mañana me dice y él doctor había estado escuchando y viene el doctor y le dice no papá ahora mismo tienes que subirte no mañana le ha dicho y esa noche mismo le hemos subido le hemos ayudado a subir su tv y todo ahí ya se ha descansado y él me ha dicho no he podido dormir porque las ventanas es bien clarito eso también no yo le digo solito has dormido feliz debías de dormir pues estirado tus brazos así le estoy diciendo y él se ha reído no no podía dormir ya ni modo ahora el doctor va a venir hoy día y ese día tenía que venir el doctor normal ha comido ha almorzado y yo no tenía ganas pa cocinar estaba parece que estaba mal yo ya he dicho a mis hijas no voy a cocinar mañana ese día ustedes van a cocinar ya ya ya me han dicho pero no había quien cocine a la fuerza he bajado a cocinar he hecho arroz blanco para mi esposo he hecho pollo les luego ha subido hemos subido su almuerzo ha almorzado normal ya a la noche ya la tarde ya era a esa hora de las cinco mi esposo siempre su té le gustaba tomar a las cinco no le gustaba más tarde entonces su teicito han hecho le hemos dado su té con galletitas se ha tomado y yo no tenía ganas ni para tomar té estaba sentada y me dice vos toma pues tu té me dice no yo mate no más me he hecho así agarrado mate así estaba tomando también él y él se ha tomado teicito su así y yo estoy me he ido al otro lado así de poco rato vuelvo y le digo ya ha debido ser siete y media por ahí te los subo tu comida le digo ya me dice se lo he subido su comida y ha comido todavía y yo no me he dado cuenta mi hija me ha dicho hay que hacerle vaporización está hablando bien después ya solo ha dicho el doctor a qué hora va a venir y mi hija le ha dicho ya va a venir papi le ha dicho pero qué rato va a venir yo tengo sueño me quiero dormir pero papi ahora mi otra hija le dice ya papi entonces entrate a la cama mi hija se sube a ese lado y se lo pone esas almohadas y él dice no tengo sueño me voy a dormir no más se ha dormido y ya no se ha levantado más cuando yo le he agarrado de su cabello s qué pasa nada se ha quedado seco se ha dormido y ya no se ha vuelto a despertar y había sido siempre con esa enfermedad que se ha ido ese rat ha debido ser como a las ocho por hay después de cenar se ha caminado se ha cambiado su ropa para dormir se ha colocado todavía nueve por ahí ya se ha fallecido mi esposo,lapaz
no ha sido bien triste ps que ya no estaba él no estaba y qué podemos hacer solo sabemos ir al cementerio no había ni cementerio también y hemos enterrado a otro cementerio y ahí íbamos con mis hijas a ver le íbamos a visitar ps y como iba era como si me estuviera encontrando con él me venía más tranquila cuando iba allá al cementerio iba le hablaba también y me venía así me venía bien tranquila como me hubiese encontrado ya así no hemos ido ya extrañándole siempre a veces recordando recordándonos de él sabemos llorar con mis hijas qué vamos a hacer así dios hasta ahí no más nos habrá prestado también como dicen dios destina hasta donde tienes que estar debe ser así qué vamos a hacer así hemos ido así al cementerio siempre le hemos ido a poner su florcita así pero hemos salido adelante con mis hijas estamos no más con mis hijas tranquila y acostumbrándonos que él ya no ha llegado a la casa,lapaz
sí eso sí muchos también parece que ya lo han cerrado hasta el taller porque ya no hay venta con esta enfermedad ha fracasado mucho el negocio y la gente ya costureros ya no quiere porque hay que al costurero hay que atenderles ha que darles trabajo porque su sueldo hay que pagarle a otros cad cada semana yo pagaba a mi costurero pero hay otros que les paga cada quince con esta pandemia ya no hay ni venta nada todo se ha parado por ya no trabajan los que trabajaban y se han dedicado ps al negocio por eso hay ahorita harto comerciante en todo lado hay comerciante hay ferias por ejemplo hay ferias en entity de lunes a lunes es las ferias lunes en otra fiesta en otra zona martes en otra zona miércoles jueves en la dieciséis viernes en la ex tranca sábado en otro lado así que las ferias se ha estirado más y por eso ya no hay mucha venta,lapaz
en semana santa nosotros entramos de acuerdo con mis hermanas más antes con mi papá se ir mi papá vivía esas veces entonces sabemos decirle vamos papi al campo a tu pueblo entonces mi papá se ha hecho su casita también más antes no tenía porque mi papá se había venido jovencito aquí a entity y su mamá y su papá había fallecido y su hermana vivía ahí y su hermana se ha ido a otro lado la casa sea terminado ahí porque nadie lo veía la casa era cómo dice era de adobe entonces todo se ha terminado la casa se ha vuelto así a lo nada a la nada se ha vuelto y luego luego ya a con mi mamá iban entonces no tenían donde llegar se habían prestado un cuartito de su padrino de matrimonio de su hijo se habían prestado y ahí vivían entonces nosotros sabes decirle te vamos a venir a visitar mi mamá decía no cuarto es pequeño dónde van a dormir y no sabemos ir pero luego ya ha construido mi pap mi mamá se ha fallecido se ha ido mi mamá ya qué vamos a hacer mi papá ha quedado como era su lugar de mi papá había unas eucalipto había crecido grande gran de había crecido y eso no han podido voltear entonces mi papá presenta oficios oficios a los mallkus y los lengua aymara mallkus se han hecho cargo de volteárselo eso ya nosotros vamos a voltear y no había cuando estábamos esperando así cuando ya un día lo habían volteado y urgente mi papá ha hecho sus cuartitos allá en su pueblo hemos ido a techar mi esposo incluso ha llevado para el albañil hasta comida se lo ha llevado mi esposo pobre maestro cómo va a trabajar comiendo seco no más yo se lo voy a llevar comida mi esposo cocinaba como yo iba a vender en la mañana mi esposo cocinaba y viajaba al campo y llevaba comida también se volvía no más en la tarde porque era cerca no más entonces así hemos hecho hacer esa casita ya y luego ya ahora ya terminado todo ahí hemos ido hay vamos ahí vamos pues mi papá decía iremos iremos ya sabemos ir con mis hijas yo se ir mi hermana también con su hijo mis otros hermanitos también con su hijito todos llegamos allá entramos de acuerdo qué vamos a cocinar decimos cocinaremos qué te gusta a vos ya qué podemos hacer entramos de acuerdo y hacemos cuota todos y llevamos para cocinarnos cada uno piensa diferente no el otro dice pescado tal día y tal día también fricasé y tal día también esta cosa cocinaremos entonces según eso ya vamos preparándonos y llegamos de aquí nos vamos juntas también a veces el que quiere también se va más antes y a veces todos juntos iremos así juntos también último que hemos viajado todos juntos nos hemos ido allá hemos llegado y y así nos cocinamos,lapaz
sí hay pero más no gusta cocinar en fogón porque mi papá tenía leña como han volteado ese su árbol había pedazos y con eso sabemos cocinar en fogón más que todo en fogón cocinamos pero sí algunas veces para las wawas teicito se lo hacen en su cocinita pero más en fogón siempre y hay rico sale bostezo la comida,lapaz
más me reúno con mis hijas no más sí porque mis hermanos cada uno tiene su familia en navidad estamos juntos con mi hija y nos cocinamos sí como hay esa costumbre de la picana como dicen entonces esito nos cocinamos cocinaremos picana ya me compro choclo sus carnes que se necesita las verduras que se necesita también y cocinó ese platito picana,lapaz
sí para año nuevo también sí hay ya costumbres cada cada año siempre hacemos lechón o racacha a,lapaz
del lechón es tiene su oca tiene papita camote postre y su ensalada y su chancho al horno ese su chanchito hay que horne horne este preparar con ajo con limón y yo le he preparo día antes para que repose bien y luego salgo algo rico eso hago con el lechón y ahora si queremos racacha racha hay que conseguir y hacer cocer moler en las vainitas ají ají en vainas eso también se hay que moler y hacer un ahogadito un jugo y para la racacha y eso hacemos con el lechón también,lapaz
para mí es igual parece no sí per navidad año nuevo solo como siempre estamos con mis hijas así igual no más también pasamos,lapaz
ya gracias hasta luego señorita,lapaz
buenas noches mi nombre es f,lapaz
aquí en entity el clima es recontra frío no puedes estar en la sombra que te enfrías tienes que ir al calor cuando sales al sol también ya el sol te quema es bien diferente que en otros lugares el invierno aquí se siente más crudo y como le digo el sol no te calienta te quema entonces tienes que estar con una gorra con algo para que no te queme tanto la cara y en la sombra como le digo tiene que estar abrigado si va a trabajar en un lugar donde hay sombra tiene que estar abrigado si está fuera ya tiene que estar con sombrero porque también el sol lo le quema también en la salud bueno llega a afectar más a los niños porque hay más enfermedades resfríos y entonces es más para los jóvenes y los niños que se enferman con esta gripe los adultos también pero no tanto como la tradición de aquí de entity es curarse con yerbas con jarabes que uno se hace cuando ya es grave ya recién también tienden a llevar recién al doctor eso también es algo que llevamos nosotros que primero nos queremos curar y después de recién estamos yendo al médico cuando ya es algo grave el invierno siempre dura o empieza en mayo y termina recién en julio entonces son largos meses que uno tiene que adaptarse más que todo en la madrugada cuando tienes que salir a trabajar tienes que ir bien abrigado porque el frío es profundo y en la noche también empieza ya a las seis de la tarde a ser el frío más crudo en entity es peor todavía en entity es la hoyada pero en entity es más frío como le vuelvo a recalcar el frío,lapaz
yo prefiero verano porque prácticamente en este tiempo ya no se llega a diferenciar mucho entre la primavera y verano porque aquí en entity donde vivimos la primavera empezaría en septiembre pero tendría que durar algo pero no no porque ya empieza el ciclo de lluvias a partir del primero de noviembre entonces no se siente o no se ve mucho la primavera aquí será por el cambio climatológico porque más antes cuando yo era niño sí se def diferenciaba las estaciones tanto otoño verano invierno y primavera pero ahora ya no ha cambiado entonces prefiero el verano porque aquí el otoño los ventarrones son fuertes entonces prefiero como vuelvo a recalcar el verano,lapaz
yo vivo en entity toda mi vida he vivido en entity desde niño,lapaz
bueno desde que era niño lo que es actualmente ha habido muchos cambios tanto en el transporte como en la educación en todo sentido ha habido cambios en las zonas donde yo he vivido antes era pura tierra no había agua potable solamente habían pilas públicas y la pila pública era lejos porque nosotros vivíamos digamos a unas siete cuadras adentro y la única pila era por eso como lo vuelvo a recalcar siete cuadras entonces toda la zona que donde yo empecé a vivir no tenía agua entonces teníamos que ir con baldes a veces en carretillas llevando latas para llevar agua muchas veces nos juntábamos entre todos los amigos de la zona entonces íbamos a una casa primero con todos nuestros baldes y llenábamos primero sus turriles después a la otra casa a la otra casa así así nos ayudábamos a llevar el agua como le digo eso era lo más dificultoso que había el agua no había mucho en cada domicilio después en la educación igual las escuelas eran lejos los colegios teníamos que ir igual mucho teníamos que caminar para ir porque tampoco había mucho transporte había poco esas veces solamente había micros colectivos y taxis nadie paga los taxis solamente había colectivos y eran llenos pues entonces tenías que ir a pie bien si conseguías movilidad al bajar y al regresar más que todo ya era subirse a pie yo le hablo de la zona de entity hacia bolonia es como unas veinte cuadras entonces era bien dificultoso ahora ya no ahora ya se ha incrementado el transporte hay muchos más colegios entonces esa es la diferencia en tanto en el estudio como en el transporte ahora que ha habido mejoras también como le decía sobre el agua potable ya cada casa tiene su propio medidor de agua entonces ha habido grandes mejoras eso no se puede negar en el ámbito político también ha habido cambios porque era necesario hacer cambios obviamente que no son los que creíamos que se iban a hacer pero han habido cambios,lapaz
